,Missing Count,Missing %
attributes.Average Garland Height,27679,99.996387283237
attributes.Open Text 3,27677,99.98916184971098
attributes.Arch Size,27677,99.98916184971098
attributes.Average Spike Size,27675,99.98193641618496
attributes.Boutonniere Recipe,27674,99.97832369942196
attributes.Wedding Bouquet Recipe,27674,99.97832369942196
attributes.Open Text 2,27672,99.97109826589595
attributes.Average Globe Size,27671,99.96748554913295
attributes.Foams Purpose,27670,99.96387283236994
attributes.Average Diameter,27664,99.94219653179191
attributes.Average Width,27655,99.90968208092485
attributes.PDF Recipe,27655,99.90968208092485
attributes.Garland & Wreath Height,27650,99.89161849710982
attributes.Average Pod Width,27645,99.8735549132948
attributes.Average Branch Length,27642,99.86271676300578
attributes.Branches Per Bunch,27642,99.86271676300578
attributes.Average Total Length,27633,99.83020231213872
attributes.Average Leaf Width,27623,99.79407514450868
attributes.Average Bloom Size,27620,99.78323699421965
attributes.Average Corsage Height,27616,99.76878612716763
attributes.Average Leaf Length,27606,99.73265895953757
attributes.Additional Info 7,27590,99.67485549132948
attributes.Additional Info 8,27590,99.67485549132948
attributes.Faux Stem Length,27575,99.62066473988439
attributes.Additional Info 6,27560,99.56647398843931
attributes.Blooms Per Pack,27556,99.55202312138728
attributes.Material,27547,99.51950867052022
attributes.Minimony Package Includes,27540,99.4942196531792
attributes.Intimate Package Includes,27540,99.4942196531792
attributes.Vases Included,27508,99.378612716763
attributes.Wreath Diameter,27487,99.30274566473989
attributes.Supplies Product Type,27468,99.23410404624278
attributes.Average Bloom Height,27440,99.13294797687861
attributes.Average Boutonniere & Corsage Height,27411,99.02817919075144
attributes.Bouquet Recipe,27404,99.0028901734104
